lon	lat	title	desc	iconSize
126.9681625	37.59140487	계측기 no_1	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,000<button type="button" onclick="alert('Hello world!')">Click Me!</button>	30,30
126.9663629	37.58564301	계측기 no_2	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,001<button type="button" onclick="alert('Hello world!')">Click Me!</button>	30,30
126.9680534	37.58499936	계측기 no_3	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,002<button type="button" onclick="alert('Hello world!')">Click Me!</button>	30,30
126.9727458	37.58496379	계측기 no_4	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,003	30,30
126.972892	37.58527303	계측기 no_5	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,004	30,30
126.9725578	37.58550898	계측기 no_6	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,005	30,30
126.9736248	37.58520857	계측기 no_7	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,006	30,30
126.9736314	37.57922561	계측기 no_8	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,007	30,30
126.9740188	37.57637833	계측기 no_9	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,008	30,30
126.970593	37.58133485	계측기 no_10	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,009	30,30
126.9658385	37.58155408	계측기 no_11	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,010	30,30
126.9691549	37.58024405	계측기 no_12	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,011	30,30
126.9692065	37.58045901	계측기 no_13	<b>년:</b>2007년<br><b>지역:</b>경기도<br><b>동(호)수:</b>206동 1101호<br><b>전기사용량:</b>12,012	30,30
